*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************
*****  SMIC Interconnect Capacitance Table     ************
***********************************************************

Process: 	65nm Mixed Signal Low Leakage 1P10M(1P9M, 1P8M, 1P7M, 1P6M) Salicide, Triple Voltage (1.2V/1.8/2.5V)
Version: 	1.0
Date: 		2009-09-31
Corner:  	Typical
Structure: 	Structure-1 (Parallel lines above a bottom plate)
(Please refer to SMIC SPICE document for the definition of each capacitance)


***********************
* Layers:	M1-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.090	0.070	2.65E-01	2.13E-02	7.49E-03	1.22E-01	6.90E-03
0.090	0.090	2.23E-01	2.31E-02	7.49E-03	9.97E-02	7.79E-03
0.090	0.100	2.07E-01	2.39E-02	7.49E-03	9.17E-02	8.22E-03
0.090	0.120	1.84E-01	2.56E-02	7.49E-03	7.93E-02	9.05E-03
0.090	0.150	1.61E-01	2.80E-02	7.49E-03	6.64E-02	1.03E-02
0.090	0.180	1.45E-01	3.03E-02	7.49E-03	5.73E-02	1.14E-02
0.090	0.200	1.37E-01	3.20E-02	7.49E-03	5.24E-02	1.23E-02
0.090	0.250	1.22E-01	3.56E-02	7.49E-03	4.34E-02	1.40E-02
0.090	0.300	1.13E-01	3.90E-02	7.49E-03	3.69E-02	1.57E-02
0.090	0.400	1.01E-01	4.49E-02	7.49E-03	2.82E-02	1.87E-02
0.090	0.500	9.48E-02	4.99E-02	7.49E-03	2.24E-02	2.12E-02
0.090	0.600	9.09E-02	5.43E-02	7.49E-03	1.83E-02	2.34E-02
0.090	0.800	8.68E-02	6.11E-02	7.49E-03	1.29E-02	2.68E-02
0.090	1.000	8.49E-02	6.60E-02	7.49E-03	9.47E-03	2.92E-02
0.090	1.200	8.40E-02	6.95E-02	7.49E-03	7.23E-03	3.10E-02
0.090	1.400	8.35E-02	7.21E-02	7.49E-03	5.68E-03	3.23E-02
0.090	1.600	8.32E-02	7.40E-02	7.49E-03	4.60E-03	3.32E-02
0.090	1.800	8.30E-02	7.54E-02	7.49E-03	3.78E-03	3.40E-02
0.090	2.000	8.29E-02	7.65E-02	7.49E-03	3.17E-03	3.45E-02
0.090	2.500	8.27E-02	7.84E-02	7.49E-03	2.19E-03	3.54E-02
0.090	3.000	8.27E-02	7.95E-02	7.49E-03	1.60E-03	3.60E-02
0.090	4.000	8.26E-02	8.06E-02	7.49E-03	1.02E-03	3.65E-02
0.090	5.000	8.26E-02	8.11E-02	7.49E-03	7.54E-04	3.68E-02
0.090	7.000	8.26E-02	8.16E-02	7.49E-03	5.02E-04	3.70E-02
0.090	10.000	8.25E-02	8.18E-02	7.49E-03	3.57E-04	3.72E-02
------	-------	--------	--------	--------	--------	--------

*********************************
* Layers:	M1-POLY (on AA) *
*********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.090	0.070	2.65E-01	2.43E-02	9.37E-03	1.21E-01	7.45E-03
0.090	0.090	2.23E-01	2.64E-02	9.38E-03	9.84E-02	8.50E-03
0.090	0.100	2.08E-01	2.74E-02	9.38E-03	9.05E-02	9.02E-03
0.090	0.120	1.86E-01	2.94E-02	9.38E-03	7.80E-02	1.00E-02
0.090	0.150	1.62E-01	3.23E-02	9.38E-03	6.50E-02	1.15E-02
0.090	0.180	1.47E-01	3.51E-02	9.38E-03	5.57E-02	1.29E-02
0.090	0.200	1.39E-01	3.71E-02	9.38E-03	5.08E-02	1.39E-02
0.090	0.250	1.25E-01	4.14E-02	9.37E-03	4.17E-02	1.60E-02
0.090	0.300	1.16E-01	4.53E-02	9.38E-03	3.52E-02	1.79E-02
0.090	0.400	1.05E-01	5.22E-02	9.37E-03	2.63E-02	2.14E-02
0.090	0.500	9.90E-02	5.79E-02	9.37E-03	2.06E-02	2.43E-02
0.090	0.600	9.57E-02	6.27E-02	9.38E-03	1.65E-02	2.66E-02
0.090	0.800	9.23E-02	6.97E-02	9.38E-03	1.13E-02	3.02E-02
0.090	1.000	9.08E-02	7.45E-02	9.37E-03	8.15E-03	3.26E-02
0.090	1.200	9.01E-02	7.78E-02	9.37E-03	6.14E-03	3.42E-02
0.090	1.400	8.98E-02	8.02E-02	9.38E-03	4.77E-03	3.54E-02
0.090	1.600	8.96E-02	8.19E-02	9.38E-03	3.85E-03	3.63E-02
0.090	1.800	8.94E-02	8.31E-02	9.37E-03	3.14E-03	3.69E-02
0.090	2.000	8.93E-02	8.41E-02	9.37E-03	2.62E-03	3.74E-02
0.090	2.500	8.93E-02	8.56E-02	9.38E-03	1.81E-03	3.81E-02
0.090	3.000	8.92E-02	8.65E-02	9.37E-03	1.35E-03	3.86E-02
0.090	4.000	8.92E-02	8.75E-02	9.37E-03	8.56E-04	3.90E-02
0.090	5.000	8.91E-02	8.79E-02	9.37E-03	6.39E-04	3.92E-02
0.090	7.000	8.91E-02	8.83E-02	9.37E-03	4.34E-04	3.94E-02
0.090	10.000	8.91E-02	8.85E-02	9.37E-03	3.15E-04	3.96E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M2-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.100	0.080	2.42E-01	1.56E-02	4.15E-03	1.13E-01	5.74E-03
0.100	0.100	2.06E-01	1.68E-02	4.15E-03	9.48E-02	6.31E-03
0.100	0.120	1.82E-01	1.78E-02	4.15E-03	8.22E-02	6.81E-03
0.100	0.130	1.73E-01	1.83E-02	4.15E-03	7.72E-02	7.06E-03
0.100	0.150	1.57E-01	1.92E-02	4.15E-03	6.91E-02	7.53E-03
0.100	0.180	1.40E-01	2.06E-02	4.15E-03	5.99E-02	8.22E-03
0.100	0.200	1.32E-01	2.15E-02	4.15E-03	5.52E-02	8.65E-03
0.100	0.250	1.16E-01	2.36E-02	4.15E-03	4.64E-02	9.71E-03
0.100	0.300	1.06E-01	2.55E-02	4.15E-03	4.02E-02	1.07E-02
0.100	0.400	9.27E-02	2.90E-02	4.15E-03	3.19E-02	1.24E-02
0.100	0.500	8.48E-02	3.21E-02	4.15E-03	2.64E-02	1.40E-02
0.100	0.600	7.98E-02	3.49E-02	4.15E-03	2.24E-02	1.54E-02
0.100	0.800	7.38E-02	3.97E-02	4.15E-03	1.70E-02	1.78E-02
0.100	1.000	7.06E-02	4.37E-02	4.15E-03	1.35E-02	1.98E-02
0.100	1.200	6.87E-02	4.69E-02	4.15E-03	1.09E-02	2.14E-02
0.100	1.400	6.75E-02	4.95E-02	4.15E-03	9.02E-03	2.27E-02
0.100	1.600	6.68E-02	5.16E-02	4.15E-03	7.59E-03	2.37E-02
0.100	1.800	6.63E-02	5.34E-02	4.15E-03	6.46E-03	2.46E-02
0.100	2.000	6.60E-02	5.48E-02	4.15E-03	5.56E-03	2.53E-02
0.100	2.500	6.55E-02	5.75E-02	4.15E-03	3.97E-03	2.67E-02
0.100	3.000	6.53E-02	5.93E-02	4.15E-03	3.01E-03	2.76E-02
0.100	4.000	6.51E-02	6.12E-02	4.15E-03	1.93E-03	2.85E-02
0.100	5.000	6.50E-02	6.22E-02	4.15E-03	1.39E-03	2.90E-02
0.100	7.000	6.50E-02	6.33E-02	4.15E-03	8.75E-04	2.96E-02
0.100	10.000	6.50E-02	6.38E-02	4.15E-03	5.68E-04	2.98E-02
------	-------	--------	--------	--------	--------	--------

*********************************
* Layers:	M2-POLY (on AA) *
*********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.100	0.080	2.42E-01	1.65E-02	4.61E-03	1.13E-01	5.94E-03
0.100	0.100	2.07E-01	1.76E-02	4.61E-03	9.45E-02	6.50E-03
0.100	0.120	1.82E-01	1.87E-02	4.61E-03	8.18E-02	7.05E-03
0.100	0.130	1.73E-01	1.92E-02	4.61E-03	7.68E-02	7.31E-03
0.100	0.150	1.58E-01	2.02E-02	4.61E-03	6.86E-02	7.81E-03
0.100	0.180	1.41E-01	2.17E-02	4.61E-03	5.95E-02	8.55E-03
0.100	0.200	1.32E-01	2.27E-02	4.61E-03	5.48E-02	9.02E-03
0.100	0.250	1.17E-01	2.49E-02	4.61E-03	4.59E-02	1.02E-02
0.100	0.300	1.06E-01	2.70E-02	4.61E-03	3.96E-02	1.12E-02
0.100	0.400	9.33E-02	3.08E-02	4.61E-03	3.13E-02	1.31E-02
0.100	0.500	8.56E-02	3.42E-02	4.61E-03	2.57E-02	1.48E-02
