*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************
*****  SMIC Interconnect Capacitance Table     ************
***********************************************************

Process: 	65nm Mixed Signal Low Leakage 1P10M(1P9M, 1P8M, 1P7M, 1P6M) Salicide, Triple Voltage (1.2V/1.8/2.5V)
Version: 	1.0
Date: 		2009-09-30
Corner:  	Typical
Structure: 	Structure-2 (Parallel lines between two plates)
(Please refer to SMIC SPICE document for the definition of each capacitance)


**************************
* Layers:	M2-M1-AA *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.090	0.070	2.73E-01	1.50E-02	2.91E-02	7.49E-03	1.55E-02	1.15E-01	3.78E-03	6.82E-03
0.090	0.090	2.32E-01	1.65E-02	3.20E-02	7.49E-03	1.55E-02	9.18E-02	4.51E-03	8.27E-03
0.090	0.100	2.18E-01	1.72E-02	3.35E-02	7.49E-03	1.55E-02	8.35E-02	4.87E-03	8.99E-03
0.090	0.120	1.96E-01	1.86E-02	3.63E-02	7.49E-03	1.55E-02	7.06E-02	5.58E-03	1.04E-02
0.090	0.150	1.75E-01	2.08E-02	4.03E-02	7.49E-03	1.55E-02	5.68E-02	6.64E-03	1.24E-02
0.090	0.180	1.61E-01	2.27E-02	4.39E-02	7.49E-03	1.55E-02	4.70E-02	7.62E-03	1.42E-02
0.090	0.200	1.54E-01	2.40E-02	4.62E-02	7.49E-03	1.55E-02	4.19E-02	8.25E-03	1.54E-02
0.090	0.250	1.42E-01	2.69E-02	5.11E-02	7.49E-03	1.55E-02	3.21E-02	9.70E-03	1.78E-02
0.090	0.300	1.36E-01	2.95E-02	5.55E-02	7.49E-03	1.55E-02	2.53E-02	1.10E-02	2.00E-02
0.090	0.400	1.29E-01	3.39E-02	6.26E-02	7.49E-03	1.55E-02	1.63E-02	1.32E-02	2.36E-02
0.090	0.500	1.26E-01	3.71E-02	6.76E-02	7.49E-03	1.55E-02	1.07E-02	1.48E-02	2.60E-02
0.090	0.600	1.25E-01	3.95E-02	7.11E-02	7.49E-03	1.55E-02	7.24E-03	1.60E-02	2.78E-02
0.090	0.800	1.24E-01	4.23E-02	7.52E-02	7.49E-03	1.55E-02	3.45E-03	1.74E-02	2.99E-02
0.090	1.000	1.24E-01	4.35E-02	7.71E-02	7.49E-03	1.55E-02	1.78E-03	1.80E-02	3.08E-02
0.090	1.200	1.24E-01	4.42E-02	7.80E-02	7.49E-03	1.55E-02	9.61E-04	1.84E-02	3.12E-02
0.090	1.400	1.24E-01	4.45E-02	7.85E-02	7.49E-03	1.55E-02	5.69E-04	1.85E-02	3.15E-02
0.090	1.600	1.24E-01	4.48E-02	7.88E-02	7.49E-03	1.55E-02	3.89E-04	1.86E-02	3.16E-02
0.090	1.800	1.24E-01	4.48E-02	7.89E-02	7.49E-03	1.55E-02	2.80E-04	1.87E-02	3.17E-02
0.090	2.000	1.24E-01	4.48E-02	7.88E-02	7.49E-03	1.55E-02	2.71E-04	1.87E-02	3.17E-02
0.090	2.500	1.24E-01	4.49E-02	7.90E-02	7.49E-03	1.55E-02	1.42E-04	1.87E-02	3.17E-02
0.090	3.000	1.24E-01	4.50E-02	7.90E-02	7.49E-03	1.55E-02	7.78E-05	1.87E-02	3.18E-02
0.090	4.000	1.24E-01	4.50E-02	7.90E-02	7.49E-03	1.55E-02	4.70E-05	1.87E-02	3.18E-02
0.090	5.000	1.24E-01	4.50E-02	7.91E-02	7.49E-03	1.55E-02	3.05E-05	1.88E-02	3.18E-02
0.090	7.000	1.24E-01	4.50E-02	7.91E-02	7.49E-03	1.55E-02	1.10E-05	1.88E-02	3.18E-02
0.090	10.000	1.24E-01	4.50E-02	7.91E-02	7.49E-03	1.55E-02	6.93E-06	1.88E-02	3.18E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

************************************
* Layers:	M2-M1-POLY (on AA) *
************************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.090	0.070	2.75E-01	1.80E-02	2.87E-02	9.38E-03	1.55E-02	1.14E-01	4.33E-03	6.62E-03
0.090	0.090	2.33E-01	1.99E-02	3.17E-02	9.38E-03	1.55E-02	9.09E-02	5.29E-03	8.10E-03
0.090	0.100	2.19E-01	2.08E-02	3.31E-02	9.38E-03	1.55E-02	8.25E-02	5.73E-03	8.80E-03
0.090	0.120	1.97E-01	2.26E-02	3.58E-02	9.37E-03	1.55E-02	6.94E-02	6.59E-03	1.02E-02
0.090	0.150	1.76E-01	2.51E-02	3.98E-02	9.38E-03	1.55E-02	5.55E-02	7.84E-03	1.21E-02
0.090	0.180	1.62E-01	2.75E-02	4.34E-02	9.38E-03	1.55E-02	4.56E-02	9.05E-03	1.40E-02
0.090	0.200	1.56E-01	2.90E-02	4.57E-02	9.38E-03	1.55E-02	4.05E-02	9.81E-03	1.51E-02
0.090	0.250	1.45E-01	3.25E-02	5.09E-02	9.38E-03	1.55E-02	3.06E-02	1.16E-02	1.77E-02
0.090	0.300	1.39E-01	3.57E-02	5.53E-02	9.38E-03	1.55E-02	2.38E-02	1.31E-02	1.99E-02
0.090	0.400	1.32E-01	4.08E-02	6.22E-02	9.38E-03	1.55E-02	1.48E-02	1.57E-02	2.34E-02
0.090	0.500	1.30E-01	4.44E-02	6.67E-02	9.37E-03	1.55E-02	9.39E-03	1.75E-02	2.56E-02
0.090	0.600	1.29E-01	4.69E-02	6.98E-02	9.37E-03	1.55E-02	6.10E-03	1.88E-02	2.72E-02
0.090	0.800	1.28E-01	4.97E-02	7.34E-02	9.38E-03	1.55E-02	2.69E-03	2.02E-02	2.90E-02
0.090	1.000	1.28E-01	5.09E-02	7.48E-02	9.38E-03	1.55E-02	1.34E-03	2.07E-02	2.97E-02
0.090	1.200	1.28E-01	5.15E-02	7.55E-02	9.38E-03	1.55E-02	6.97E-04	2.10E-02	3.00E-02
0.090	1.400	1.28E-01	5.17E-02	7.58E-02	9.38E-03	1.55E-02	4.17E-04	2.12E-02	3.02E-02
0.090	1.600	1.29E-01	5.19E-02	7.63E-02	9.37E-03	1.55E-02	2.86E-04	2.12E-02	3.04E-02
0.090	1.800	1.29E-01	5.19E-02	7.63E-02	9.38E-03	1.55E-02	2.24E-04	2.13E-02	3.04E-02
0.090	2.000	1.28E-01	5.19E-02	7.61E-02	9.38E-03	1.55E-02	2.16E-04	2.13E-02	3.03E-02
0.090	2.500	1.28E-01	5.20E-02	7.62E-02	9.38E-03	1.55E-02	1.02E-04	2.13E-02	3.03E-02
0.090	3.000	1.28E-01	5.20E-02	7.62E-02	9.37E-03	1.55E-02	5.47E-05	2.13E-02	3.04E-02
0.090	4.000	1.29E-01	5.21E-02	7.63E-02	9.38E-03	1.55E-02	4.22E-05	2.14E-02	3.04E-02
0.090	5.000	1.28E-01	5.21E-02	7.62E-02	9.38E-03	1.55E-02	2.06E-05	2.14E-02	3.04E-02
0.090	7.000	1.28E-01	5.20E-02	7.64E-02	9.37E-03	1.55E-02	7.05E-06	2.13E-02	3.05E-02
0.090	10.000	1.29E-01	5.21E-02	7.65E-02	9.38E-03	1.55E-02	4.61E-06	2.13E-02	3.05E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M3-M1-AA *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.090	0.070	2.67E-01	1.65E-02	1.03E-02	7.49E-03	4.52E-03	1.20E-01	4.49E-03	2.87E-03
0.090	0.090	2.25E-01	1.79E-02	1.12E-02	7.49E-03	4.52E-03	9.77E-02	5.22E-03	3.32E-03
0.090	0.100	2.10E-01	1.86E-02	1.16E-02	7.49E-03	4.52E-03	8.97E-02	5.57E-03	3.54E-03
0.090	0.120	1.87E-01	2.00E-02	1.25E-02	7.49E-03	4.52E-03	7.70E-02	6.27E-03	3.97E-03
0.090	0.150	1.63E-01	2.21E-02	1.37E-02	7.49E-03	4.52E-03	6.38E-02	7.29E-03	4.61E-03
0.090	0.180	1.48E-01	2.40E-02	1.50E-02	7.49E-03	4.52E-03	5.43E-02	8.26E-03	5.22E-03
0.090	0.200	1.40E-01	2.53E-02	1.57E-02	7.49E-03	4.52E-03	4.94E-02	8.89E-03	5.61E-03
0.090	0.250	1.26E-01	2.82E-02	1.76E-02	7.49E-03	4.52E-03	3.99E-02	1.04E-02	6.55E-03
0.090	0.300	1.17E-01	3.10E-02	1.94E-02	7.49E-03	4.52E-03	3.31E-02	1.18E-02	7.44E-03
0.090	0.400	1.06E-01	3.60E-02	2.26E-02	7.49E-03	4.52E-03	2.38E-02	1.43E-02	9.05E-03
0.090	0.500	1.01E-01	4.02E-02	2.54E-02	7.49E-03	4.52E-03	1.75E-02	1.64E-02	1.04E-02
0.090	0.600	9.78E-02	4.37E-02	2.77E-02	7.49E-03	4.52E-03	1.32E-02	1.81E-02	1.16E-02
0.090	0.800	9.51E-02	4.89E-02	3.10E-02	7.49E-03	4.52E-03	7.62E-03	2.07E-02	1.33E-02
0.090	1.000	9.43E-02	5.21E-02	3.32E-02	7.49E-03	4.52E-03	4.51E-03	2.23E-02	1.43E-02
0.090	1.200	9.40E-02	5.41E-02	3.45E-02	7.49E-03	4.52E-03	2.73E-03	2.33E-02	1.50E-02
